广东荔枝,#genre#
CCTV10,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv10.m3u8
CCTV11,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv11.m3u8
CCTV12,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv12.m3u8
CCTV13,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv13.m3u8
CCTV14,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV15,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv15.m3u8
CCTV16,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv16.m3u8
CCTV17,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv17.m3u8
CCTV-4K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-8K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K36M/playlist.m3u8
CGTN英语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnen.m3u8
CGTN法语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnfr.m3u8
CGTN俄语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnru.m3u8
CGTN阿拉伯语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnar.m3u8
CGTN西班牙语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnsp.m3u8
CGTN纪录国际,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtndoc.m3u8

卫视频道,#genre#

港澳地区,#genre#
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
